193,Gang Investigation Division,"313,612.92"
195,Narcotics Division,"82,154.87"
196,Human Resources Division,"36,749.25"
211,District Law Enforcement,"184,758.31"
212,District Law Enforcement,"110,569.61"
213,Off. Deputy Chief A/3,"197,705.31"
222,District Law Enforcement,"5,429.01"
231,District Law Enforcement,308.09
241,Deployment Operations Center,"12,470.24"
261,Human Resources Division,"6,129.35"
277,Forensic Services Unit,"129,996.35"
311,Off. Deputy Chief A/l,"108,835.01"
312,Gang Team Area 2,"138,943.17"
313,District Law Enforcement,"114,187.31"
341,Canine Unit,"44,531.12"
353,Special Weapons & Tactical Unit,"149,918.85"
376,Central Detention Unit,"50,577.05"
384,Juvenile Intervention Support Center(JISC),"31,346.35"
441,Traffic Section-Detail Unit,"5,483.09"
442,Gang Investigation Division,"42,518.08"
541,Special Weapons & Tactical Unit,235.63
542,Detached Services - Govt Security Detail,"67,736.86"
543,Narcotics Division,"14,971.21"
545,District Law Enforcement,"2,994.79"
602,District Law Enforcement,"5,683.20"
603,Bomb and Arson Division,"39,650.54"
604,Central Homicide - Eval and Support Unit,"60,953.12"
606,Central Homicide - Eval and Support Unit,"223,355.61"
608,Major Accident Investigation Unit,"67,068.94"
610,Central Homicide - Eval and Support Unit,"731,018.39"
620,Detective Div. - Area 2,"493,265.23"
630,Forensic Services Unit,"606,812.37"
701,Public Transportation Section,"92,008.44"
702,CTA Security Unit,"1,366.63"
704,Transit Security Unit,"31,915.71"
711,District Law Enforcement,257.82
720,District Law Enforcement,"2,111.94"
721,Off. Deputy Chief A/2,"6,790.12"
,,
002,District Law Enforcement,"214,850.17"
003,District Law Enforcement,"115,513.68"
004,District Law Enforcement,"297,218.96"
005,District Law Enforcement,"299,112.33"
006,District Law Enforcement,"160,629.64"
007,District Law Enforcement,"277,119.19"
008,District Law Enforcement,"227,691.36"
009,District Law Enforcement,"242,929.35"
010,District Law Enforcement,"260,010.79"
Oil,District Law Enforcement,"138,531.54"
012,District Law Enforcement,"184,441.96"
014,Office of Communications,"136,925.72"
015,District Law Enforcement,"191,121.63"
016,District Law Enforcement,"159,138.95"
017,District Law Enforcement,"107,374.73"
018,District Law Enforcement,"227,707.42"
019,District Law Enforcement,"195,973.42"
020,District Law Enforcement,"184,416.12"
022,District Law Enforcement,"162,790.64"
024,District Law Enforcement,"140,901.05"
025,District Law Enforcement,"231,077.16"
044,Police Documents Section,92.46
045,Gang Team Area 2,"1,030.03"
050,District Law Enforcement,"303,915.12"
051,District Law Enforcement,"30,120.36"
055,District Law Enforcement,"14,746.34"
057,District Law Enforcement,"42,216.19"
059,District Law Enforcement,"53,326.61"
060,Helicopter Unit,"10,464.33"
079,Special Investigations Unit,"95,271.87"
102,Office of Communications,"7,833.41"
111,District Law Enforcement,"15,499.49"
114,Office of the Superintendent,"3,649.92"
115,Office of Crime Control Strategies,"19,425.00"
116,Deployment Operations Center,"53,065.91"
120,Narcotics Division,"9,808.88"
121,Human Resources Division,"95,851.51"
122,Finance Division,329.41
123,Detective Div. - Area 2,"119,775.52"
124,District Law Enforcement,"229,462.51"
125,District Law Enforcement,"33,817.96"
126,Inspection Division,"11,320.52"
127,District Law Enforcement,"27,384.50"
128,Education & Training Division,"1,882.71"
130,Public Safety Information Technology (PSIT),"5,056.75"
131,Domestic Violence,156.86
